appname,event,timestamp
应用预测,32,1605074302675
应用预测,1,1605074306031
应用预测,1,1605074325523
应用预测,1,1605074326687
应用预测,32,1605074326692
应用预测,32,1605074327711
应用预测,1,1605074329590
应用预测,32,1605074329595
应用预测,32,1605074330227
设置,32,1605074990392
设置,32,1605074990418
设置,32,1605074990955
设置,32,1605074990973
应用预测,32,1605074991682
应用预测,32,1605074991733
应用预测,1,1605074992598
系统桌面,32,1605074994093
系统桌面,32,1605074994107
系统桌面,32,1605074994655
系统桌面,1,1605074995824
菜鸟,32,1605074995932
菜鸟,32,1605074995970
系统桌面,32,1605074995980
系统桌面,32,1605074996066
菜鸟,32,1605074996120
系统桌面,32,1605074997436
系统桌面,32,1605074997475
系统桌面,32,1605074997632
系统桌面,32,1605074998086
系统桌面,1,1605074998369
应用预测,32,1605074998478
应用预测,32,1605074998484
设置,32,1605075395838
设置,32,1605075395857
设置,32,1605075396327
设置,32,1605075396353
应用预测,32,1605075397074
应用预测,32,1605075397135
应用预测,1,1605075398114
系统桌面,32,1605075399413
系统桌面,32,1605075399443
系统桌面,32,1605075400009
系统桌面,1,1605075400405
QQ,32,1605075400543
QQ,32,1605075400575
系统桌面,32,1605075400585
系统桌面,32,1605075400595
QQ,1,1605075401832
系统桌面,32,1605075406145
系统桌面,32,1605075406194
系统桌面,32,1605075406718
系统桌面,1,1605075406976
应用预测,32,1605075407111
应用预测,32,1605075407118
应用预测,1,1605075409586
应用预测,32,1605075409593
应用预测,32,1605075410433
应用预测,1,1605075425521
应用预测,1,1605075434141
应用预测,1,1605075448299
应用预测,1,1605075463616
应用预测,1,1605075466995
应用预测,1,1605075467633
应用预测,1,1605075474398
系统 UI,32,1605075598461
系统 UI,32,1605075598464
系统 UI,32,1605075598480
系统 UI,32,1605075598496
万象息屏,32,1605075598739
Android 系统,32,1605078837260
应用预测,32,1605078837398
系统桌面,32,1605078837674
设置,32,1605078837881
设置,32,1605078838009
应用预测,32,1605078838444
系统 UI,32,1605078839228
系统 UI,1,1605078840317
应用预测,32,1605078840341
手机管家,32,1605078840461
系统 UI,32,1605078840472
系统 UI,32,1605078840535
系统 UI,32,1605078840742
系统 UI,32,1605078840780
系统 UI,32,1605078840798
微信,32,1605078841322
微信,32,1605078841485
微信,32,1605078841610
微信,1,1605078845513
微信,32,1605078845661
微信,32,1605078846798
微信,32,1605078846816
微信,1,1605078847892
微信,32,1605078848017
微信,32,1605078849937
微信,32,1605078849955
微信,1,1605078852890
微信,32,1605078853021
