event,appname,timestamp
32,系统桌面,2020-11-11 10:28:46
32,系统桌面,2020-11-11 10:28:46
32,系统桌面,2020-11-11 10:28:47
32,系统桌面,2020-11-11 10:29:18
32,系统桌面,2020-11-11 10:29:18
32,系统桌面,2020-11-11 10:29:19
32,系统 UI,2020-11-11 10:31:19
32,系统 UI,2020-11-11 10:31:19
32,万象息屏,2020-11-11 10:31:19
32,Android 系统,2020-11-11 10:32:12
32,系统桌面,2020-11-11 10:32:12
32,系统桌面,2020-11-11 10:32:12
32,系统桌面,2020-11-11 10:32:12
32,设置,2020-11-11 11:11:14
32,设置,2020-11-11 11:11:15
32,设置,2020-11-11 11:11:15
32,设置,2020-11-11 11:11:16
32,设置,2020-11-11 11:11:16
32,用户行为3,2020-11-11 11:11:16
32,用户行为3,2020-11-11 11:11:16
1,用户行为3,2020-11-11 11:11:18
32,系统桌面,2020-11-11 11:11:19
32,系统桌面,2020-11-11 11:11:19
32,系统桌面,2020-11-11 11:11:19
32,系统 UI,2020-11-11 11:11:23
32,系统 UI,2020-11-11 11:11:23
32,系统 UI,2020-11-11 11:11:23
32,系统 UI,2020-11-11 11:11:23
32,万象息屏,2020-11-11 11:11:24
32,Android 系统,2020-11-11 11:32:24
32,系统 UI,2020-11-11 11:32:24
32,小米画报,2020-11-11 11:32:24
32,系统 UI,2020-11-11 11:32:24
32,万象息屏,2020-11-11 11:32:25
32,Android 系统,2020-11-11 11:32:26
32,系统桌面,2020-11-11 11:32:26
32,系统桌面,2020-11-11 11:32:26
32,系统桌面,2020-11-11 11:32:26
32,系统 UI,2020-11-11 11:32:27
32,系统桌面,2020-11-11 11:32:27
32,系统 UI,2020-11-11 11:32:28
32,系统桌面,2020-11-11 11:32:28
32,系统桌面,2020-11-11 11:32:28
1,系统 UI,2020-11-11 11:32:29
32,手机管家,2020-11-11 11:32:29
32,系统桌面,2020-11-11 11:32:29
32,手机管家,2020-11-11 11:32:29
32,系统 UI,2020-11-11 11:32:30
32,系统桌面,2020-11-11 11:32:30
32,系统 UI,2020-11-11 11:32:30
